cycle,dis_spec_mAhg,chg_spec_mAhg,dis_uAh,chg_uAh,CE_pct
402,54.1,54.1,54.1,54.1,100.0
403,54.1,54.1,54.1,54.1,100.0
404,54.1,54.1,54.1,54.1,100.0
405,54.1,54.1,54.1,54.1,100.0
406,54.1,54.1,54.1,54.1,100.0
407,54.1,54.1,54.1,54.1,100.0
408,54.0,54.1,54.0,54.1,99.81515711645102
409,54.1,54.2,54.1,54.2,99.81549815498155
410,54.2,54.2,54.2,54.2,100.0
411,54.1,54.1,54.1,54.1,100.0
412,54.1,54.2,54.1,54.2,99.81549815498155
413,54.0,54.0,54.0,54.0,100.0
414,54.1,54.3,54.1,54.3,99.63167587476981
415,54.3,54.4,54.3,54.4,99.81617647058823
416,54.4,54.4,54.4,54.4,100.0
417,54.4,54.4,54.4,54.4,100.0
418,54.4,54.4,54.4,54.4,100.0
419,54.4,54.4,54.4,54.4,100.0
420,54.4,54.8,54.4,54.8,99.27007299270073
421,54.5,54.0,54.5,54.0,100.92592592592592
422,54.2,54.3,54.2,54.3,99.81583793738491
423,54.3,54.4,54.3,54.4,99.81617647058823
424,54.4,54.4,54.4,54.4,100.0
425,54.4,54.4,54.4,54.4,100.0
426,54.4,54.5,54.4,54.5,99.81651376146789
427,54.5,54.4,54.5,54.4,100.18382352941177
428,54.4,54.4,54.4,54.4,100.0
429,54.4,54.5,54.4,54.5,99.81651376146789
430,54.5,54.5,54.5,54.5,100.0
431,54.5,54.5,54.5,54.5,100.0
432,54.4,54.5,54.4,54.5,99.81651376146789
433,54.5,54.5,54.5,54.5,100.0
434,54.5,54.5,54.5,54.5,100.0
435,54.4,54.3,54.4,54.3,100.18416206261512
436,54.3,54.4,54.3,54.4,99.81617647058823
437,54.4,54.5,54.4,54.5,99.81651376146789
438,54.5,54.5,54.5,54.5,100.0
439,54.5,54.5,54.5,54.5,100.0
440,54.5,54.5,54.5,54.5,100.0
441,54.5,54.8,54.5,54.8,99.45255474452556
442,54.7,54.5,54.7,54.5,100.36697247706424
443,54.5,54.5,54.5,54.5,100.0
444,54.4,54.5,54.4,54.5,99.81651376146789
445,54.5,54.5,54.5,54.5,100.0
446,54.5,54.5,54.5,54.5,100.0
447,54.5,54.5,54.5,54.5,100.0
448,54.4,54.5,54.4,54.5,99.81651376146789
449,54.4,54.5,54.4,54.5,99.81651376146789
450,54.5,54.5,54.5,54.5,100.0
451,54.5,54.5,54.5,54.5,100.0
452,54.5,54.5,54.5,54.5,100.0
453,54.5,54.5,54.5,54.5,100.0
454,54.6,54.7,54.6,54.7,99.81718464351005
455,54.5,54.3,54.5,54.3,100.3683241252302
456,54.3,54.5,54.3,54.5,99.63302752293578
457,54.5,54.5,54.5,54.5,100.0
458,54.5,54.5,54.5,54.5,100.0
459,54.5,54.4,54.5,54.4,100.18382352941177
460,54.4,54.5,54.4,54.5,99.81651376146789
461,54.4,54.4,54.4,54.4,100.0
462,54.4,54.5,54.4,54.5,99.81651376146789
463,54.4,54.4,54.4,54.4,100.0
464,54.4,54.5,54.4,54.5,99.81651376146789
465,54.4,54.5,54.4,54.5,99.81651376146789
466,54.5,54.5,54.5,54.5,100.0
467,54.5,54.5,54.5,54.5,100.0
468,54.5,54.5,54.5,54.5,100.0
469,54.5,54.5,54.5,54.5,100.0
470,54.5,54.5,54.5,54.5,100.0
471,54.5,54.5,54.5,54.5,100.0
472,54.5,54.5,54.5,54.5,100.0
473,54.5,54.5,54.5,54.5,100.0
474,54.5,54.5,54.5,54.5,100.0
475,54.5,54.5,54.5,54.5,100.0
476,54.5,54.5,54.5,54.5,100.0
477,54.5,54.5,54.5,54.5,100.0
478,54.5,54.4,54.5,54.4,100.18382352941177
479,54.4,54.5,54.4,54.5,99.81651376146789
480,54.5,54.5,54.5,54.5,100.0
481,54.6,54.6,54.6,54.6,100.0
482,54.6,54.6,54.6,54.6,100.0
