step,t_ps,T_K,Epot_eV,Al_height_A,Al_slabMin_A,Al_nCl,Al_nO,Al_SiMin_A
13350,13.350,334.6,-124888.125,3.545,3.608,2,0,nan
13400,13.400,325.7,-124887.844,3.544,3.609,2,0,nan
13450,13.450,327.1,-124888.062,3.564,3.625,2,0,nan
13500,13.500,315.3,-124887.625,3.471,3.514,2,0,nan
13550,13.550,250.0,-124887.086,3.515,3.557,2,0,nan
13600,13.600,306.8,-124887.883,3.589,3.651,2,0,nan
13650,13.650,328.8,-124888.062,3.628,3.681,2,0,nan
13700,13.700,337.8,-124888.180,3.780,3.856,2,0,nan
13750,13.750,298.5,-124887.320,3.862,3.931,2,0,nan
13800,13.800,324.6,-124887.492,3.870,3.930,2,0,nan
13850,13.850,321.0,-124887.312,3.993,4.039,2,0,nan
13900,13.900,306.3,-124887.203,4.019,4.044,2,0,nan
13950,13.950,342.5,-124888.016,4.031,4.046,2,0,nan
14000,14.000,277.1,-124887.133,3.977,3.985,2,0,nan
14050,14.050,312.8,-124888.055,4.043,4.046,2,0,nan
14100,14.100,299.4,-124887.742,4.044,4.050,2,0,nan
14150,14.150,327.4,-124888.055,3.960,3.975,2,0,nan
14200,14.200,336.6,-124887.773,3.896,3.924,2,0,nan
14250,14.250,290.0,-124887.375,3.937,3.965,2,0,nan
14300,14.300,321.6,-124887.500,3.881,3.914,2,0,nan
14350,14.350,341.3,-124887.984,3.945,3.995,2,0,nan
14400,14.400,333.5,-124888.008,3.950,4.011,2,0,nan
14450,14.450,310.4,-124887.766,3.974,4.055,2,0,nan
14500,14.500,322.2,-124888.172,4.105,4.250,2,0,nan
14550,14.550,322.3,-124887.859,4.120,4.275,2,0,nan
14600,14.600,323.2,-124887.883,4.118,4.297,2,0,nan
14650,14.650,306.8,-124887.875,4.097,4.243,2,0,nan
14700,14.700,301.7,-124887.961,4.002,4.138,2,0,nan
14750,14.750,306.9,-124887.938,3.976,4.136,2,0,nan
14800,14.800,292.8,-124887.383,3.920,4.056,2,0,nan
14850,14.850,327.3,-124887.547,3.867,4.056,2,0,nan
14900,14.900,307.8,-124887.578,3.728,3.861,2,0,nan
14950,14.950,292.7,-124887.672,3.639,3.794,2,0,nan
15000,15.000,322.5,-124888.000,3.613,3.779,2,0,nan
15000,15.000,322.5,-124888.000,3.613,3.779,2,0,nan
15050,15.050,284.3,-124887.562,3.575,3.724,2,0,nan
15100,15.100,317.9,-124887.984,3.541,3.744,2,0,nan
15150,15.150,326.6,-124888.312,3.498,3.671,2,0,nan
15200,15.200,296.8,-124887.867,3.522,3.709,2,0,nan
15250,15.250,347.4,-124887.992,3.457,3.642,2,0,nan
