step,time_fs,Al_height_A,Al_Mg_slab_A,nCl_bonded,AlCl1_A,AlCl2_A,qAl_mulliken
910,455.0,2.754,2.820,2,2.147,2.239,0.4609
912,456.0,2.752,2.818,2,2.147,2.236,0.4560
914,457.0,2.749,2.816,2,2.148,2.233,0.4504
916,458.0,2.747,2.814,2,2.149,2.229,0.4453
918,459.0,2.745,2.812,2,2.151,2.225,0.4415
920,460.0,2.742,2.810,2,2.154,2.221,0.4388
922,461.0,2.740,2.808,2,2.158,2.217,0.4371
924,462.0,2.737,2.806,2,2.162,2.213,0.4362
926,463.0,2.733,2.804,2,2.168,2.209,0.4360
928,464.0,2.730,2.802,2,2.174,2.206,0.4367
930,465.0,2.726,2.800,2,2.180,2.202,0.4375
932,466.0,2.722,2.798,2,2.188,2.199,0.4381
934,467.0,2.718,2.796,2,2.195,2.195,0.4388
936,468.0,2.714,2.794,2,2.192,2.203,0.4390
938,469.0,2.710,2.792,2,2.189,2.211,0.4384
940,470.0,2.706,2.790,2,2.185,2.218,0.4368
942,471.0,2.703,2.788,2,2.180,2.224,0.4344
944,472.0,2.699,2.786,2,2.175,2.230,0.4317
946,473.0,2.696,2.784,2,2.170,2.235,0.4289
