charge_depth_mAh_cm2,tau_s,gamma_ohm
0.09992,3.563035e-07,0.000000e+00
0.09992,3.997791e-07,0.000000e+00
0.09992,4.485596e-07,0.000000e+00
0.09992,5.032921e-07,0.000000e+00
0.09992,5.647030e-07,0.000000e+00
0.09992,6.336072e-07,0.000000e+00
0.09992,7.109190e-07,0.000000e+00
0.09992,7.976643e-07,0.000000e+00
0.09992,8.949940e-07,0.000000e+00
0.09992,1.004200e-06,0.000000e+00
0.09992,1.126731e-06,0.000000e+00
0.09992,1.264213e-06,0.000000e+00
0.09992,1.418470e-06,0.000000e+00
0.09992,1.591549e-06,0.000000e+00
0.09992,1.785748e-06,0.000000e+00
0.09992,2.003642e-06,0.000000e+00
0.09992,2.248123e-06,0.000000e+00
0.09992,2.522436e-06,0.000000e+00
0.09992,2.830220e-06,0.000000e+00
0.09992,3.175559e-06,0.000000e+00
0.09992,3.563035e-06,0.000000e+00
0.09992,3.997791e-06,0.000000e+00
0.09992,4.485596e-06,0.000000e+00
0.09992,5.032921e-06,0.000000e+00
0.09992,5.647030e-06,0.000000e+00
0.09992,6.336072e-06,0.000000e+00
0.09992,7.109190e-06,0.000000e+00
0.09992,7.976643e-06,0.000000e+00
0.09992,8.949940e-06,0.000000e+00
0.09992,1.004200e-05,0.000000e+00
0.09992,1.126731e-05,1.547796e-02
0.09992,1.264213e-05,5.854561e-02
0.09992,1.418470e-05,1.343870e-01
0.09992,1.591549e-05,2.431989e-01
0.09992,1.785748e-05,3.818490e-01
0.09992,2.003642e-05,5.452551e-01
0.09992,2.248123e-05,7.274963e-01
0.09992,2.522436e-05,9.226721e-01
0.09992,2.830220e-05,1.125532e+00
0.09992,3.175559e-05,1.331902e+00
0.09992,3.563035e-05,1.538932e+00
0.09992,3.997791e-05,1.745196e+00
0.09992,4.485596e-05,1.950674e+00
0.09992,5.032921e-05,2.156643e+00
0.09992,5.647030e-05,2.365498e+00
0.09992,6.336072e-05,2.580538e+00
0.09992,7.109190e-05,2.805722e+00
0.09992,7.976643e-05,3.045431e+00
0.09992,8.949940e-05,3.304231e+00
0.09992,1.004200e-04,3.586661e+00
0.09992,1.126731e-04,3.897052e+00
0.09992,1.264213e-04,4.239372e+00
0.09992,1.418470e-04,4.617117e+00
0.09992,1.591549e-04,5.033226e+00
0.09992,1.785748e-04,5.490033e+00
0.09992,2.003642e-04,5.989252e+00
0.09992,2.248123e-04,6.531977e+00
0.09992,2.522436e-04,7.118713e+00
0.09992,2.830220e-04,7.749411e+00
0.09992,3.175559e-04,8.423518e+00
0.09992,3.563035e-04,9.140032e+00
0.09992,3.997791e-04,9.897557e+00
0.09992,4.485596e-04,1.069435e+01
0.09992,5.032921e-04,1.152839e+01
0.09992,5.647030e-04,1.239739e+01
0.09992,6.336072e-04,1.329886e+01
0.09992,7.109190e-04,1.423010e+01
0.09992,7.976643e-04,1.518827e+01
0.09992,8.949940e-04,1.617037e+01
0.09992,1.004200e-03,1.717328e+01
0.09992,1.126731e-03,1.819375e+01
0.09992,1.264213e-03,1.922843e+01
0.09992,1.418470e-03,2.027390e+01
0.09992,1.591549e-03,2.132670e+01
0.09992,1.785748e-03,2.238339e+01
0.09992,2.003642e-03,2.344062e+01
0.09992,2.248123e-03,2.449518e+01
0.09992,2.522436e-03,2.554420e+01
0.09992,2.830220e-03,2.658520e+01
0.09992,3.175559e-03,2.761628e+01
0.09992,3.563035e-03,2.863632e+01
0.09992,3.997791e-03,2.964515e+01
0.09992,4.485596e-03,3.064377e+01
0.09992,5.032921e-03,3.163455e+01
0.09992,5.647030e-03,3.262143e+01
0.09992,6.336072e-03,3.361017e+01
0.09992,7.109190e-03,3.460847e+01
0.09992,7.976643e-03,3.562619e+01
0.09992,8.949940e-03,3.667543e+01
0.09992,1.004200e-02,3.777067e+01
0.09992,1.126731e-02,3.892879e+01
0.09992,1.264213e-02,4.016905e+01
