charge_depth_mAh_cm2,tau_s,gamma_ohm
0.09992,3.175559e-05,1.067707e+00
0.09992,3.563035e-05,1.342950e+00
0.09992,3.997791e-05,1.656448e+00
0.09992,4.485596e-05,1.997969e+00
0.09992,5.032921e-05,2.353582e+00
0.09992,5.647030e-05,2.706304e+00
0.09992,6.336072e-05,3.037037e+00
0.09992,7.109190e-05,3.325777e+00
0.09992,7.976643e-05,3.553014e+00
0.09992,8.949940e-05,3.701272e+00
0.09992,1.004200e-04,3.756692e+00
0.09992,1.126731e-04,3.710571e+00
0.09992,1.264213e-04,3.560751e+00
0.09992,1.418470e-04,3.312783e+00
0.09992,1.591549e-04,2.980760e+00
0.09992,1.785748e-04,2.587769e+00
0.09992,2.003642e-04,2.165894e+00
0.09992,2.248123e-04,1.755752e+00
0.09992,2.522436e-04,1.405562e+00
0.09992,2.830220e-04,1.169759e+00
0.09992,3.175559e-04,1.107222e+00
0.09992,3.563035e-04,1.279182e+00
0.09992,3.997791e-04,1.746908e+00
0.09992,4.485596e-04,2.569279e+00
0.09992,5.032921e-04,3.800372e+00
0.09992,5.647030e-04,5.487171e+00
0.09992,6.336072e-04,7.667520e+00
0.09992,7.109190e-04,1.036842e+01
0.09992,7.976643e-04,1.360476e+01
0.09992,8.949940e-04,1.737853e+01
0.09992,1.004200e-03,2.167853e+01
0.09992,1.126731e-03,2.648071e+01
0.09992,1.264213e-03,3.174887e+01
0.09992,1.418470e-03,3.743603e+01
0.09992,1.591549e-03,4.348604e+01
0.09992,1.785748e-03,4.983565e+01
0.09992,2.003642e-03,5.641682e+01
0.09992,2.248123e-03,6.315912e+01
0.09992,2.522436e-03,6.999230e+01
0.09992,2.830220e-03,7.684877e+01
0.09992,3.175559e-03,8.366597e+01
0.09992,3.563035e-03,9.038858e+01
0.09992,3.997791e-03,9.697048e+01
0.09992,4.485596e-03,1.033764e+02
0.09992,5.032921e-03,1.095830e+02
0.09992,5.647030e-03,1.155805e+02
0.09992,6.336072e-03,1.213722e+02
0.09992,7.109190e-03,1.269758e+02
0.09992,7.976643e-03,1.324223e+02
0.09992,8.949940e-03,1.377562e+02
0.09992,1.004200e-02,1.430344e+02
0.09992,1.126731e-02,1.483253e+02
0.09992,1.264213e-02,1.537073e+02
0.09992,1.418470e-02,1.592676e+02
0.09992,1.591549e-02,1.651005e+02
0.09992,1.785748e-02,1.713058e+02
0.09992,2.003642e-02,1.779867e+02
0.09992,2.248123e-02,1.852487e+02
0.09992,2.522436e-02,1.931972e+02
0.09992,2.830220e-02,2.019364e+02
0.09992,3.175559e-02,2.115673e+02
0.09992,3.563035e-02,2.221863e+02
