E_minus_Ef_eV,totalDOS,pdos_Al,pdos_Mg
7.660,12.05258,6.14172,5.91086
7.680,13.54107,6.92071,6.62036
7.700,14.98047,7.66333,7.31714
7.720,16.19838,8.27584,7.92254
7.740,17.07437,8.68834,8.38603
7.760,17.56004,8.86597,8.69407
7.780,17.68464,8.81332,8.87132
7.800,17.54388,8.57071,8.97317
7.820,17.27334,8.20298,9.07036
7.840,17.01247,7.78327,9.22920
7.860,16.86809,7.37609,9.49200
7.880,16.88655,7.02361,9.86294
7.900,17.04194,6.73872,10.30322
7.920,17.24296,6.50587,10.73709
7.940,17.35643,6.28899,11.06744
7.960,17.24081,6.04378,11.19703
7.980,16.78081,5.73067,11.05014
8.000,15.91429,5.32521,10.58908
8.020,14.64554,4.82358,9.82196
8.040,13.04287,4.24247,8.80040
8.060,11.22296,3.61442,7.60854
8.080,9.32745,2.98036,6.34709
8.100,7.49846,2.38191,5.11655
8.120,5.85884,1.85514,4.00369
8.140,4.50077,1.42718,3.07359
8.160,3.48313,1.11547,2.36766
8.180,2.83583,0.92934,1.90649
8.200,2.56776,0.87252,1.69524
8.220,2.67471,0.94557,1.72914
8.240,3.14490,1.14745,1.99745
8.260,3.96080,1.47594,2.48486
8.280,5.09765,1.92688,3.17078
8.300,6.52011,2.49293,4.02718
8.320,8.17876,3.16226,5.01650
8.340,10.00803,3.91756,6.09047
8.360,11.92639,4.73565,7.19075
8.380,13.83897,5.58752,8.25145
8.400,15.64218,6.43885,9.20333
8.420,17.22993,7.25074,9.97918
8.440,18.50092,7.98103,10.51989
8.460,19.36678,8.58625,10.78054
8.480,19.76054,9.02473,10.73581
8.500,19.64464,9.26069,10.38395
8.520,19.01718,9.26897,9.74822
8.540,17.91495,9.03962,8.87533
8.560,16.41170,8.58118,7.83052
8.580,14.61153,7.92175,6.68978
8.600,12.63800,7.10732,5.53068
8.620,10.62090,6.19753,4.42338
8.640,8.68337,5.25973,3.42363
8.660,6.93168,4.36271,2.56897
8.680,5.44939,3.57107,1.87831
8.700,4.29601,2.94137,1.35464
8.720,3.50924,2.51989,0.98934
8.740,3.10863,2.34159,0.76704
8.760,3.09862,2.42907,0.66954
8.780,3.46902,2.79071,0.67832
8.800,4.19271,3.41748,0.77523
8.820,5.22129,4.27925,0.94204
8.840,6.48120,5.32186,1.15934
8.860,7.87333,6.46744,1.40589
8.880,9.27850,7.61955,1.65895
8.900,10.57019,8.67414,1.89604
8.920,11.63292,9.53503,2.09789
8.940,12.38289,10.13107,2.25182
8.960,12.78540,10.43074,2.35466
8.980,12.86380,10.44977,2.41403
9.000,12.69622,10.24897,2.44726
9.020,12.39966,9.92172,2.47793
9.040,12.10427,9.57367,2.53060
9.060,11.92418,9.29929,2.62489
9.080,11.93198,9.16128,2.77069
9.100,12.14390,9.17808,2.96582
9.120,12.51964,9.32267,3.19697
9.140,12.97698,9.53282,3.44416
9.160,13.41752,9.73008,3.68745
9.180,13.75634,9.84211,3.91423
9.200,13.94770,9.82267,4.12503
9.220,13.99968,9.66389,4.33579
9.240,13.97403,9.39815,4.57588
