E_minus_Ef_eV,totalDOS,pdos_O,pdos_Si
9.580,4.92937,1.72599,3.20338
9.600,4.00320,1.40137,2.60183
9.620,3.12802,1.09475,2.03327
9.640,2.35162,0.82284,1.52878
9.660,1.70094,0.59503,1.10591
9.680,1.18364,0.41398,0.76966
9.700,0.79239,0.27708,0.51531
9.720,0.51032,0.17841,0.33191
9.740,0.31615,0.11051,0.20565
9.760,0.18841,0.06584,0.12256
9.780,0.10800,0.03774,0.07026
9.800,0.05954,0.02080,0.03874
9.820,0.03158,0.01103,0.02055
9.840,0.01610,0.00562,0.01048
9.860,0.00790,0.00276,0.00514
9.880,0.00373,0.00130,0.00242
9.900,0.00169,0.00059,0.00110
9.920,0.00074,0.00026,0.00048
9.940,0.00031,0.00011,0.00020
9.960,0.00013,0.00005,0.00009
9.980,0.00007,0.00003,0.00004
10.000,0.00008,0.00004,0.00005
10.020,0.00017,0.00008,0.00010
10.040,0.00041,0.00018,0.00022
10.060,0.00096,0.00043,0.00053
10.080,0.00217,0.00097,0.00120
10.100,0.00473,0.00212,0.00261
10.120,0.00993,0.00445,0.00548
10.140,0.02004,0.00898,0.01106
10.160,0.03889,0.01744,0.02145
10.180,0.07258,0.03255,0.04003
10.200,0.13025,0.05842,0.07183
10.220,0.22480,0.10084,0.12396
10.240,0.37312,0.16740,0.20572
10.260,0.59559,0.26726,0.32833
10.280,0.91435,0.41037,0.50398
10.300,1.35005,0.60602,0.74403
10.320,1.91723,0.86077,1.05647
10.340,2.61875,1.17593,1.44282
10.360,3.44046,1.54520,1.89526
10.380,4.34761,1.95299,2.39462
10.400,5.28448,2.37428,2.91020
10.420,6.17842,2.77645,3.40197
10.440,6.94833,3.12303,3.82530
10.460,7.51649,3.37905,4.13744
10.480,7.82139,3.51679,4.30460
10.500,7.82867,3.52075,4.30792
10.520,7.53750,3.39045,4.14705
10.540,6.98073,3.14062,3.84011
10.560,6.21879,2.79836,3.42044
10.580,5.32893,2.39839,2.93054
10.600,4.39235,1.97723,2.41512
10.620,3.48235,1.56788,1.91447
10.640,2.65558,1.19586,1.45972
10.660,1.94783,0.87730,1.07053
10.680,1.37415,0.61903,0.75513
10.700,0.93241,0.42010,0.51231
10.720,0.60849,0.27421,0.33429
10.740,0.38191,0.17213,0.20978
10.760,0.23053,0.10392,0.12661
10.780,0.13383,0.06033,0.07349
10.800,0.07471,0.03369,0.04102
10.820,0.04011,0.01809,0.02202
10.840,0.02071,0.00934,0.01137
10.860,0.01028,0.00464,0.00564
10.880,0.00491,0.00221,0.00269
10.900,0.00225,0.00102,0.00124
10.920,0.00100,0.00045,0.00055
10.940,0.00043,0.00019,0.00023
10.960,0.00019,0.00009,0.00010
10.980,0.00012,0.00006,0.00006
11.000,0.00016,0.00008,0.00008
11.020,0.00033,0.00016,0.00016
11.040,0.00074,0.00037,0.00037
11.060,0.00166,0.00083,0.00083
11.080,0.00358,0.00179,0.00179
11.100,0.00742,0.00371,0.00371
11.120,0.01478,0.00739,0.00739
11.140,0.02829,0.01415,0.01415
11.160,0.05203,0.02601,0.02601
11.180,0.09193,0.04596,0.04596
11.200,0.15605,0.07803,0.07803
11.220,0.25453,0.12727,0.12726
11.240,0.39886,0.19943,0.19943
11.260,0.60054,0.30027,0.30027
11.280,0.86874,0.43437,0.43436
11.300,1.20744,0.60373,0.60371
11.320,1.61238,0.80620,0.80618
11.340,2.06870,1.03436,1.03434
11.360,2.55010,1.27507,1.27503
11.380,3.02027,1.51015,1.51011
11.400,3.43685,1.71845,1.71841
11.420,3.75755,1.87880,1.87875
11.440,3.94710,1.97357,1.97352
11.460,3.98362,1.99184,1.99179
11.480,3.86284,1.93145,1.93140
11.500,3.59885,1.79945,1.79940
11.520,3.22143,1.61074,1.61070
11.540,2.77053,1.38528,1.38525
